"id_loc","street","neigh","city","state","gaddress","glat","glng","gbnelat","gbnelng","gbswlat","gbswlng","visited"
7457,"RUA CANUDOS","IRAJA","RIO DE JANEIRO","RJ","Rua Canudos - Irajá, Rio de Janeiro, 21230-085, Brazil",-22.8183,-43.3339,-22.8247,-43.3346,-22.8217,-43.3342,"2013-08-17 15:35:19"
7458,"RUA CANUTO SARAIVA","MUDA","RIO DE JANEIRO","RJ","Rua Canuto Saraiva - Tijuca, Rio de Janeiro, 20530-590, Brazil",-22.9339,-43.2463,-22.9355,-43.2475,-22.9349,-43.2472,"2013-08-17 15:35:20"
7459,"RUA CANUTO SARAIVA","TIJUCA","RIO DE JANEIRO","RJ","Rua Canuto Saraiva - Tijuca, Rio de Janeiro, 20530-590, Brazil",-22.9339,-43.2463,-22.9355,-43.2475,-22.9349,-43.2472,"2013-08-17 15:35:20"
7460,"RUA CAOBI","IRAJA","RIO DE JANEIRO","RJ","Rua Caobi - Irajá, Rio de Janeiro, 21361-470, Brazil",-22.8476,-43.3255,-22.8494,-43.329,-22.8488,-43.3267,"2013-08-17 15:35:21"
7461,"RUA CAP BARBOSA","ILHA DO GOVERNADOR","RIO DE JANEIRO","RJ","Rua Capitão Barbosa - Ilha do Governador, Rio de Janeiro, 21921-525, Brazil",-22.8044,-43.1782,-22.8112,-43.1822,-22.8071,-43.1801,"2013-08-17 15:35:21"
7462,"RUA CAP BARBOSA","PRAIA DA BANDEIRA","RIO DE JANEIRO","RJ","Rua Capitão Barbosa - Praia da Bandeira, Rio de Janeiro, 21921-525, Brazil",-22.8054,-43.1782,-22.8112,-43.1822,-22.8076,-43.1792,"2013-08-17 15:35:22"
7463,"RUA CAP CESAR DE ANDRADE","LEBLON","RIO DE JANEIRO","RJ","Rua Capitão César de Andrade - Leblon, Rio de Janeiro, 22431-010, Brazil",-22.9803,-43.2242,-22.9807,-43.2264,-22.9806,-43.2252,"2013-08-17 15:35:22"
7464,"RUA CAP GOUVEIA","PÇ SECA","RIO DE JANEIRO","RJ","Rua Capitão César de Andrade - Leblon, Rio de Janeiro, 22431-010, Brazil",-22.9803,-43.2242,-22.9807,-43.2264,-22.9806,-43.2252,"2013-08-17 15:35:23"
7465,"RUA CAP JESUS","CACHAMBI","RIO DE JANEIRO","RJ","Rua Capitão Jesus - Cachambi, Rio de Janeiro, 20775-140, Brazil",-22.8923,-43.2765,-22.893,-43.277,-22.8926,-43.2768,"2013-08-17 15:35:23"
7466,"RUA CAP MACHADO","PÇ SECA","RIO DE JANEIRO","RJ","Rua Capitão Jesus - Cachambi, Rio de Janeiro, 20775-140, Brazil",-22.8923,-43.2765,-22.893,-43.277,-22.8926,-43.2768,"2013-08-17 15:35:23"
7467,"RUA CAP MENEZES","PÇ SECA","RIO DE JANEIRO","RJ","Rua Capitão Jesus - Cachambi, Rio de Janeiro, 20775-140, Brazil",-22.8923,-43.2765,-22.893,-43.277,-22.8926,-43.2768,"2013-08-17 15:35:23"
7468,"RUA CAP PIRES","BENTO RIBEIRO","RIO DE JANEIRO","RJ","Rua Capitão Pires - Bento Ribeiro, Rio de Janeiro, 21340-120, Brazil",-22.8656,-43.3558,-22.8714,-43.3579,-22.8682,-43.3572,"2013-08-17 15:35:24"
7469,"RUA CAP RESENDE","CACHAMBI","RIO DE JANEIRO","RJ","Rua Capitão Rezende - Cachambi, Rio de Janeiro, 20780-190, Brazil",-22.895,-43.2726,-22.8964,-43.2746,-22.8953,-43.274,"2013-08-17 15:35:24"
7470,"RUA CAP SALOMAO","HUMAITA","RIO DE JANEIRO","RJ","Rua Capitão Salomão, Rio de Janeiro, 22271-040, Brazil",-22.9557,-43.1959,-22.958,-43.1966,-22.9572,-43.1962,"2013-08-17 15:35:25"
7471,"RUA CAPELAO ALVARES DA SILVA","COPACABANA","RIO DE JANEIRO","RJ","Copacabana, Rio de Janeiro, Brazil",-22.9601,-43.1733,-22.9921,-43.199,-22.967,-43.1807,"2013-08-17 15:35:25"
7472,"RUA CAPIM BRANCO","VL VALQUEIRE","RIO DE JANEIRO","RJ","Rua Capim Branco - Vila Valqueire, Rio de Janeiro, 21330-050, Brazil",-22.885,-43.3703,-22.8876,-43.3736,-22.886,-43.3718,"2013-08-17 15:35:26"
7473,"RUA CARDEAL DOM SEBASTIAO LEME","GLORIA","RIO DE JANEIRO","RJ","Rua Cardeal Dom Sebastião Leme - Santa Teresa, Rio de Janeiro, Brazil",-22.9161,-43.1875,-22.9184,-43.1895,-22.9172,-43.1891,"2013-08-17 15:35:27"
7474,"RUA CARDEAL DOM SEBASTIAO LEME","LAPA","RIO DE JANEIRO","RJ","Rua Cardeal Dom Sebastião Leme - Santa Teresa, Rio de Janeiro, Brazil",-22.9161,-43.1875,-22.9184,-43.1895,-22.9172,-43.1891,"2013-08-17 15:35:27"
7475,"RUA CARDEAL DOM SEBASTIAO LEME","STA TERESA","RIO DE JANEIRO","RJ","Rua Cardeal Dom Sebastião Leme - Santa Teresa, Rio de Janeiro, Brazil",-22.9161,-43.1875,-22.9184,-43.1895,-22.9172,-43.1891,"2013-08-17 15:35:28"
7476,"RUA CARDO SANTO","VL VALQUEIRE","RIO DE JANEIRO","RJ","Rua Cardo Santo - Vila Valqueire, Rio de Janeiro, Brazil",-22.8828,-43.367,-22.8848,-43.3715,-22.8838,-43.3691,"2013-08-17 15:35:28"
7477,"RUA CARDOSO DE MORAIS","BONSUCESSO","RIO DE JANEIRO","RJ","Rua Cardoso de Morais - Bonsucesso, Rio de Janeiro, 21032-000, Brazil",-22.8569,-43.2539,-22.866,-43.2579,-22.8614,-43.255,"2013-08-17 15:35:29"
7478,"RUA CARDOSO JR","LARANJEIRAS","RIO DE JANEIRO","RJ","Rua Cardoso Júnior - Laranjeiras, Rio de Janeiro, 22245-000, Brazil",-22.9372,-43.1871,-22.9412,-43.1905,-22.939,-43.1888,"2013-08-17 15:35:29"
7479,"RUA CARI LEVI","JD AMERICA","RIO DE JANEIRO","RJ","Rua Cari Levi - Jardim América, Rio de Janeiro, 21240-040, Brazil",-22.8131,-43.3194,-22.8165,-43.3258,-22.8153,-43.3217,"2013-08-17 15:35:30"
7480,"RUA CARIJOS,DOS","MEIER","RIO DE JANEIRO","RJ","Rua dos Carijós - Méier, Rio de Janeiro, 20720-360, Brazil",-22.906,-43.286,-22.9079,-43.2886,-22.9071,-43.2871,"2013-08-17 15:35:30"
7481,"RUA CARIUS","CAMPO GRANDE","RIO DE JANEIRO","RJ","Rua Carius - Campo Grande, Rio de Janeiro, 23052-180, Brazil",-22.9034,-43.5518,-22.9081,-43.5525,-22.908,-43.5518,"2013-08-17 15:35:32"
7482,"RUA CARLINA","OLARIA","RIO DE JANEIRO","RJ","Rua Carlina - Olaria, Rio de Janeiro, 21021-360, Brazil",-22.8396,-43.2629,-22.8434,-43.2662,-22.8416,-43.2644,"2013-08-17 15:35:32"
7483,"RUA CARLO BRANT","GLORIA","RIO DE JANEIRO","RJ","Rua Carlo Brant - Santa Teresa, Rio de Janeiro, 20240-220, Brazil",-22.9197,-43.1856,-22.9211,-43.1862,-22.9202,-43.1857,"2013-08-17 15:35:33"
7484,"RUA CARLOS DE CARVALHO","CENTRO","RIO DE JANEIRO","RJ","Rua Carlos de Carvalho - Centro, Rio de Janeiro, 20230-180, Brazil",-22.9106,-43.187,-22.9118,-43.1898,-22.9111,-43.1883,"2013-08-17 15:35:34"
7485,"RUA CARLOS DE LAET","TIJUCA","RIO DE JANEIRO","RJ","Rua Carlos de Laet - Tijuca, Rio de Janeiro, 20511-210, Brazil",-22.9259,-43.2359,-22.9273,-43.237,-22.9264,-43.2363,"2013-08-17 15:35:34"
7486,"RUA CARLOS DE VASCONCELOS","TIJUCA","RIO DE JANEIRO","RJ","Rua Carlos Vasconcelos - Tijuca, Rio de Janeiro, 20521-050, Brazil",-22.9239,-43.2273,-22.927,-43.2318,-22.9251,-43.2301,"2013-08-17 15:35:35"
7487,"RUA CARLOS GALHARDO","RECREIO DOS BANDEIRANTES","RIO DE JANEIRO","RJ","Rua Carlos Galhardo - Recreio dos Bandeirantes, Rio de Janeiro, 22795-440, Brazil",-23.018,-43.4599,-23.0189,-43.4621,-23.0184,-43.4609,"2013-08-17 15:35:35"
7488,"RUA CARLOS GOIS","LEBLON","RIO DE JANEIRO","RJ","Rua Carlos Góis - Leblon, Rio de Janeiro, Brazil",-22.9818,-43.2194,-22.9866,-43.2202,-22.9838,-43.2199,"2013-08-17 15:35:36"
